frame,t_s,x_mm,y_mm,z_mm
154,5.1333,1696.78,975.49,7191.09
155,5.1667,1746.20,974.95,7195.18
156,5.2000,1794.76,973.40,7199.42
157,5.2333,1842.35,971.36,7203.61
158,5.2667,1888.72,969.24,7207.57
159,5.3000,1934.29,967.73,7211.14
160,5.3333,1979.57,966.70,7214.18
161,5.3667,2023.57,966.12,7216.53
162,5.4000,2065.24,965.93,7218.04
163,5.4333,2105.39,965.82,7218.55
164,5.4667,2145.06,965.51,7218.15
165,5.5000,2183.59,964.87,7217.12
166,5.5333,2220.49,963.82,7215.55
167,5.5667,2255.27,963.08,7213.54
168,5.6000,2289.30,964.94,7211.31
169,5.6333,2320.52,966.23,7208.82
170,5.6667,2348.63,966.88,7206.18
171,5.7000,2374.03,967.31,7203.48
172,5.7333,2396.87,967.81,7200.83
173,5.7667,2416.94,968.37,7198.32
174,5.8000,2433.99,968.95,7196.05
175,5.8333,2449.17,969.47,7194.12
176,5.8667,2463.77,969.86,7192.62
177,5.9000,2477.73,970.18,7191.64
178,5.9333,2491.03,970.53,7191.28
179,5.9667,2503.63,970.90,7191.35
180,6.0000,2515.48,971.30,7191.58
181,6.0333,2526.56,971.71,7191.95
182,6.0667,2537.01,972.29,7192.45
183,6.1000,2546.76,973.01,7193.04
184,6.1333,2555.53,973.68,7193.71
185,6.1667,2563.33,974.30,7194.44
186,6.2000,2570.10,974.89,7195.20
187,6.2333,2575.79,975.44,7195.98
188,6.2667,2580.37,975.95,7196.74
189,6.3000,2584.33,976.42,7197.48
190,6.3333,2588.19,976.84,7198.16
191,6.3667,2591.94,977.24,7198.77
192,6.4000,2595.54,977.65,7199.29
193,6.4333,2598.98,978.06,7199.68
194,6.4667,2602.24,978.47,7199.93
195,6.5000,2605.31,978.86,7200.02
196,6.5333,2608.16,979.25,7200.02
197,6.5667,2610.80,979.64,7200.02
198,6.6000,2613.19,980.02,7200.02
199,6.6333,2615.32,980.39,7200.02
200,6.6667,2617.19,980.75,7200.02
201,6.7000,2618.75,981.07,7200.02
202,6.7333,2620.01,981.37,7200.02
203,6.7667,2620.93,981.64,7200.02
204,6.8000,2621.50,981.86,7200.02
205,6.8333,2621.71,982.04,7200.02
206,6.8667,2621.73,982.19,7200.02
207,6.9000,2621.76,982.35,7200.02
208,6.9333,2621.79,982.50,7200.02
209,6.9667,2621.82,982.65,7200.02
210,7.0000,2621.85,982.80,7200.02
211,7.0333,2621.89,982.95,7200.02
212,7.0667,2621.92,983.09,7200.02
213,7.1000,2621.96,983.22,7200.02
214,7.1333,2622.00,983.35,7200.02
215,7.1667,2622.04,983.47,7200.02
216,7.2000,2622.08,983.57,7200.02
217,7.2333,2622.12,983.67,7200.02
218,7.2667,2622.16,983.75,7200.02
219,7.3000,2622.20,983.82,7200.02
220,7.3333,2622.24,983.88,7200.02
221,7.3667,2622.25,983.77,7200.02
222,7.4000,2622.26,983.66,7200.02
223,7.4333,2622.27,983.52,7200.02
224,7.4667,2622.28,983.37,7200.02
225,7.5000,2622.29,983.21,7200.02
226,7.5333,2622.29,983.03,7200.02
227,7.5667,2622.30,982.84,7200.02
228,7.6000,2622.30,982.64,7200.02
229,7.6333,2622.30,982.42,7200.02
230,7.6667,2622.29,982.19,7200.02
231,7.7000,2622.29,981.96,7200.02
232,7.7333,2622.28,981.71,7200.02
233,7.7667,2622.27,981.46,7200.02
234,7.8000,2622.25,981.19,7200.02
235,7.8333,2622.24,980.93,7200.02
236,7.8667,2622.22,980.65,7200.02
237,7.9000,2622.20,980.38,7200.02
238,7.9333,2622.17,980.10,7200.02
239,7.9667,2622.15,979.81,7200.02
