frame,t_s,x_mm,y_mm,z_mm
164,5.4666,9.78,88.40,-2.65
165,5.4999,9.78,88.40,-2.65
166,5.5333,12.67,88.40,0.00
167,5.5666,12.67,88.40,0.00
168,5.5999,12.67,88.40,0.00
169,5.6333,12.67,88.40,0.00
170,5.6666,12.67,88.40,0.00
171,5.6999,12.67,88.40,0.00
172,5.7333,12.67,88.40,0.00
173,5.7666,12.67,88.40,0.00
174,5.7999,12.67,88.40,0.00
175,5.8333,12.67,88.40,0.00
176,5.8666,12.67,88.40,0.00
177,5.8999,12.67,88.40,0.00
178,5.9333,12.67,88.40,0.00
179,5.9666,12.67,88.40,0.00
180,5.9999,12.67,88.40,0.00
181,6.0333,12.67,88.40,0.00
182,6.0666,12.67,88.40,0.00
183,6.0999,12.67,88.40,0.00
184,6.1333,12.67,88.40,0.00
185,6.1666,12.67,88.40,0.00
186,6.1999,12.67,88.40,0.00
187,6.2333,12.67,88.40,0.00
188,6.2666,12.67,88.40,0.00
189,6.2999,12.67,88.40,0.00
190,6.3333,12.67,88.40,0.00
191,6.3666,12.67,88.40,0.00
192,6.3999,12.67,88.40,0.00
193,6.4333,12.67,88.40,0.00
194,6.4666,12.67,88.40,0.00
195,6.4999,12.67,88.40,0.00
196,6.5333,12.67,88.40,0.00
197,6.5666,12.67,88.40,0.00
198,6.5999,12.67,88.40,0.00
