frame,t_s,x_mm,y_mm,z_mm
154,5.1333,1790.19,917.35,7191.24
155,5.1667,1816.60,917.60,7195.29
156,5.2000,1842.33,918.11,7199.46
157,5.2333,1867.49,919.27,7203.57
158,5.2667,1891.57,920.45,7207.47
159,5.3000,1915.68,922.05,7211.00
160,5.3333,1941.01,923.61,7213.98
161,5.3667,1966.44,925.44,7216.30
162,5.4000,1990.93,927.73,7217.82
163,5.4333,2014.42,930.35,7218.36
164,5.4667,2036.94,932.92,7218.03
165,5.5000,2057.90,935.06,7217.08
166,5.5333,2076.92,936.49,7215.58
167,5.5667,2093.74,937.18,7213.64
168,5.6000,2108.22,937.56,7211.35
169,5.6333,2120.37,937.98,7208.83
170,5.6667,2131.31,938.63,7206.19
171,5.7000,2141.55,940.04,7203.51
172,5.7333,2150.49,941.43,7200.87
173,5.7667,2158.05,942.81,7198.38
174,5.8000,2164.12,944.17,7196.11
175,5.8333,2169.25,945.49,7194.18
176,5.8667,2174.07,946.76,7192.68
177,5.9000,2178.58,948.01,7191.69
178,5.9333,2182.78,949.30,7191.33
179,5.9667,2186.69,950.62,7191.39
180,6.0000,2190.30,951.94,7191.62
181,6.0333,2193.62,953.26,7191.98
182,6.0667,2196.67,954.57,7192.47
183,6.1000,2199.46,955.86,7193.06
184,6.1333,2201.98,957.11,7193.73
185,6.1667,2204.25,958.33,7194.45
186,6.2000,2206.25,959.49,7195.21
187,6.2333,2207.95,960.60,7195.99
188,6.2667,2209.36,961.63,7196.75
189,6.3000,2210.63,962.60,7197.49
190,6.3333,2211.89,963.46,7198.17
191,6.3667,2213.12,964.28,7198.78
192,6.4000,2214.30,965.10,7199.29
193,6.4333,2215.44,965.93,7199.68
194,6.4667,2216.52,966.75,7199.93
195,6.5000,2217.54,967.55,7200.02
196,6.5333,2218.50,968.33,7200.02
197,6.5667,2219.38,969.09,7200.02
198,6.6000,2220.19,969.82,7200.02
199,6.6333,2220.92,970.50,7200.02
200,6.6667,2221.57,971.14,7200.02
201,6.7000,2222.11,971.71,7200.02
202,6.7333,2222.56,972.20,7200.02
203,6.7667,2222.89,972.61,7200.02
204,6.8000,2223.10,972.93,7200.02
205,6.8333,2223.19,973.14,7200.02
206,6.8667,2223.22,973.29,7200.02
207,6.9000,2223.25,973.44,7200.02
208,6.9333,2223.28,973.60,7200.02
209,6.9667,2223.32,973.75,7200.02
210,7.0000,2223.36,973.90,7200.02
211,7.0333,2223.40,974.04,7200.02
212,7.0667,2223.44,974.18,7200.02
213,7.1000,2223.49,974.32,7200.02
214,7.1333,2223.53,974.44,7200.02
215,7.1667,2223.57,974.56,7200.02
216,7.2000,2223.62,974.67,7200.02
217,7.2333,2223.66,974.77,7200.02
218,7.2667,2223.70,974.85,7200.02
219,7.3000,2223.75,974.92,7200.02
220,7.3333,2223.79,974.97,7200.02
221,7.3667,2223.80,974.87,7200.02
222,7.4000,2223.80,974.75,7200.02
223,7.4333,2223.81,974.62,7200.02
224,7.4667,2223.81,974.47,7200.02
225,7.5000,2223.81,974.31,7200.02
226,7.5333,2223.81,974.13,7200.02
227,7.5667,2223.81,973.94,7200.02
228,7.6000,2223.80,973.73,7200.02
229,7.6333,2223.79,973.52,7200.02
230,7.6667,2223.78,973.29,7200.02
231,7.7000,2223.76,973.05,7200.02
232,7.7333,2223.75,972.81,7200.02
233,7.7667,2223.73,972.55,7200.02
234,7.8000,2223.70,972.29,7200.02
235,7.8333,2223.68,972.02,7200.02
236,7.8667,2223.65,971.75,7200.02
237,7.9000,2223.62,971.47,7200.02
238,7.9333,2223.59,971.19,7200.02
239,7.9667,2223.55,970.91,7200.02
